Unit,Unit Type,SqFt,Renewal/Trade Out ,Lease Start Dates,Market Rent at Lease Execution,Prior Rent LER,New LER,Prior Rent LER SqFt,$/mo,Renewed LER SqFt,$ psf/mo,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,#DIV/0!, $-   ,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
