[3/13/2026 8:23 AM] Leon AI Assistant: Property Name,Address,City,Submarket,Unit Count,Year Built
1160 JOHNSON FERRY RD,1160 JOHNSON FERRY RD,Atlanta,,287,
1163 WEST PEACHTREE ST NE,1163 WEST PEACHTREE ST NE,Atlanta,,407,
11695 MEDLOCK BRIDGE RD,11695 MEDLOCK BRIDGE RD,Atlanta,,124,
1170 CRESCENT AVE NE,1170 CRESCENT AVE NE,Atlanta,,940,
11725 JONES BRIDGE RD,11725 JONES BRIDGE RD,Atlanta,,285,
1175 HEMBREE RD,1175 HEMBREE RD,Atlanta,,137,
1184 CAPITOL AVE SE,1184 CAPITOL AVE SE,Atlanta,,250,
1185 COLLIER RD NW,1185 COLLIER RD NW,Atlanta,,288,
1191 METROPOLITAN PKWY,1191 METROPOLITAN PKWY,Atlanta,,120,
1200 FOSTER ST NW,1200 FOSTER ST NW,Atlanta,,209,
1200 VIRGINIA AVE,1200 VIRGINIA AVE,Atlanta,,188,
12075 MORRIS RD,12075 MORRIS RD,Atlanta,,107,
1220 MECASLIN ST NW,1220 MECASLIN ST NW,Atlanta,,317,
1225 FAIRBURN RD SW,1225 FAIRBURN RD SW,Atlanta,,248,
1230 WEST PEACHTREE ST NW,1230 WEST PEACHTREE ST NW,Atlanta,,421,
12300 MORRIS RD,12300 MORRIS RD,Atlanta,,128,
1231 WEST PEACHTREE ST NE,1231 WEST PEACHTREE ST NE,Atlanta,,186,
124 LAKESHORE CIR NE,124 LAKESHORE CIR NE,Atlanta,,148,
1240 WEST PEACHTREE ST,1240 WEST PEACHTREE ST,Atlanta,,350,
1241 JAMES JACKSON PKWY,1241 JAMES JACKSON PKWY,Atlanta,,214,
1246 ALLENE AVE SW,1246 ALLENE AVE SW,Atlanta,,325,
125 MILTON AVE SE,125 MILTON AVE SE,Atlanta,,319,
125 MITCHELL ST SW,125 MITCHELL ST SW,Atlanta,,162,
125 TENTH ST NE,125 TENTH ST NE,Atlanta,,194,
12505 INNOVATION WAY,12505 INNOVATION WAY,Atlanta,,135,
1260 HIGHTOWER TRL,1260 HIGHTOWER TRL,Atlanta,,154,
1265 LAKEWOOD AVE SE,1265 LAKEWOOD AVE SE,Atlanta,,160,
12655 MORRIS RD,12655 MORRIS RD,Atlanta,,154,
127 NORTHSIDE DR NW,127 NORTHSIDE DR NW,Atlanta,,100,
127 PEACHTREE ST NE,127 PEACHTREE ST NE,Atlanta,,265,
1270 SPRING ST NW,1270 SPRING ST NW,Atlanta,,262,
1270 VIRGINIA AVE,1270 VIRGINIA AVE,Atlanta,,151,
1270 WEST PEACHTREE ST NW,1270 WEST PEACHTREE ST NW,Atlanta,,118,
130 LUCKIE ST NW,130 LUCKIE ST NW,Atlanta,,265,
130 PEACHTREE ST NW,130 PEACHTREE ST NW,Atlanta,,160,
1300 GRAN CRIQUE DR,1300 GRAN CRIQUE DR,Atlanta,,300,
[3/13/2026 8:23 AM] Leon AI Assistant: 1301 CHATTAHOOCHEE AVE NW,1301 CHATTAHOOCHEE AVE NW,Atlanta,,306,
1301 SPRING ST NW,1301 SPRING ST NW,Atlanta,,355,
1302 WEST PEACHTREE ST NW,1302 WEST PEACHTREE ST NW,Atlanta,,120,
