ParcelId,Address,City,State,ZIP,County,MSA,Submarket,YearBuilt,YearRenovated,AssetClass,Stories,ConstructionType,PropertyType,UnitCount,AvgUnitSqft,NetRentableSqft,ParkingType,ParkingRatio,LotSizeAcres,ManagementCompany,Notes,DataConfidence,SourceFiles
Junction at Antiquity,,Atlanta,GA,NC,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,Fee Payro,,medium,2011SOV - Schedule of Values Mecklenburg.pdf; Cash Flows.xls; Junction at Antiquity LOI.pdf; Summary Dashboard.xls
Kennesaw Deals,,Kennesaw,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,SLAB,Garden,,,,,,,,,medium,East Park Village - Rent roll.xls; East Park Village Garden- Rent roll.xls; East Park Village Midrise - Rent roll.xls; Eastpark Village - Regressions (2022.04.01).pdf; EPV - Garden Constructtion Schedule (2021.08.030.pdf
Kia Ora,19 With Analytics,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,407,,,Covered,,,Materia,,medium,Historical_20190603123520.xls; Kia Ora Costar.pdf; KIA RR 4.29.19 With Analytics.xls; KIA RR 4.29.19.xls; KIA T-12 Mar 2019.xls
Knox at Metrocenter,,,,,,,,,,,,,,,,,,,,,,none,
Lake Ridge,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,9999,,,,,,FE,,medium,Copy of Lake Ridge - Rent Roll (2019.07.18) (002) - techno.xls; Copy of Lake Ridge - T12 (2019.06).xlsx (002) - techno.xls; Historical_20190731111524 - lake ridge .xls; Lake Ridge - Rent Roll (2019.07.18).xls; Lake Ridge - T12 (2019.06).xlsx.xls
Legacy Crossroads,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,Garage,,,Fee Manageme,,medium,Copy of Legacy Crossroads Reno Est.xlsx; Historical Comparison .xls; Historical_20190321090512.xls; Historical_20190321101209 v2.xls; Legacy Crossroads HIstorical v3.xls
Leo Loso,21 Solis LoSo Package (005),Dallas,TX,,,"Dallas-Fort Worth-Arlington, TX",,2021,,,,,,,,,,,,,,medium,Leo LoSo Flyer.pdf; Leo LoSo OM.pdf; Leo Loso Rent Roll.xls; Leo LoSo RR 2-12-24.xlsx; Rendering Video.mp4
Linvingston,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Costar Richmond - VA-MultiFamily-Market-2021-05-18.pdf; Livingston BoxScoreSummary05_05_2021.pdf; Livingston BoxScoreSummary05_18_2021.pdf; Livingston ConcessionBurnOff05_05_2021.xlsx; Livingston Other Income.xlsx
Linz Holy Springs,,Raleigh,NC,,,"Raleigh-Durham-Chapel Hill, NC",,,,,,,,,,,Garage,,,,,medium,Linz - Renatble Items (2023.03.09).xlsx; Linz - Rent Roll (2023.03.09).xlsx; Linz - Rent Roll w Future Rents (2023.03.27).xlsx; Linz - Rent Roll_RedIQ (2023.03.27).xlsx; Linz Holly Springs - Rent Roll (2023.10.06) modified.xls
Liv Deals,,,,,,,,,,,,,,,,,,,,,,none,
Livano Canyon Falls,,San Antonio,TX,,,"San Antonio-New Braunfels, TX",,,,,,,,,,,,,,,,medium,12_Month_Statement_403_Accrual (1).xlsx; Livano Canon Falls Other income.xlsx; RentableItemsDirectory03_13_2024 (1).xlsx; RentRollwithLeaseCharges03_13_2024 (3).xlsx
Livano Pflugerville,,Pflugerville,TX,,,"Austin-Round Rock, TX",,,,,,,,,,,,,,,,medium,12_Month_Statement_420_Accrual.xlsx; Livano Pfluger Other income.xlsx; RentableItemsDirectory03_13_2024.xlsx; RentRollwithLeaseCharges03_13_2024 (2).xlsx
